,Flow_ID,Src_IP,Src_Port,Dst_IP,Dst_Port,Protocol,Timestamp,Flow_Duration,Tot_Fwd_Pkts,Tot_Bwd_Pkts,TotLen_Fwd_Pkts,TotLen_Bwd_Pkts,Fwd_Pkt_Len_Max,Fwd_Pkt_Len_Min,Fwd_Pkt_Len_Mean,Fwd_Pkt_Len_Std,Bwd_Pkt_Len_Max,Bwd_Pkt_Len_Min,Bwd_Pkt_Len_Mean,Bwd_Pkt_Len_Std,Flow_Byts/s,Flow_Pkts/s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Tot,Fwd_IAT_Mean,Bwd_IAT_Mean,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Tot,Bwd_IAT_Mean.1,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Len,Bwd_Header_Len,Fwd_Pkts/s,Bwd_Pkts/s,Pkt_Len_Min,Pkt_Len_Max,Pkt_Len_Mean,Pkt_Len_Std,Pkt_Len_Var,FIN_Flag_Cnt,SYN_Flag_Cnt,RST_Flag_Cnt,PSH_Flag_Cnt,ACK_Flag_Cnt,URG_Flag_Cnt,CWE_Flag_Count,ECE_Flag_Cnt,Down/Up_Ratio,Pkt_Size_Avg,Fwd_Seg_Size_Avg,Bwd_Seg_Size_Avg,Fwd_Byts/b_Avg,Fwd_Pkts/b_Avg,Fwd_Blk_Rate_Avg,Bwd_Byts/b_Avg,Bwd_Pkts/b_Avg,Bwd_Blk_Rate_Avg,Subflow_Fwd_Pkts,Subflow_Fwd_Byts,Subflow_Bwd_Pkts,Subflow_Bwd_Byts,Init_Fwd_Win_Byts,Init_Bwd_Win_Byts,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Label,Cat,Sub_Cat,Device
0,192.168.0.14-239.255.255.250-58224-1900-17,192.168.0.14,58224,239.255.255.250,1900,17,25/07/2019 03:24:47 AM,161,1,1,175,175,175,175,175.0,0.0,175,175,175.0,0.0,2173913.043478261,12422.3602484472,161.0,0.0,161,161,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,6211.180124223602,6211.180124223602,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0.0,0.0,0,0,161.0,0.0,161,161,Anomaly,Mirai,4,Apple_0e
1,192.168.0.14-224.0.0.251-5353-5353-17,192.168.0.14,5353,224.0.0.251,5353,17,04/06/2019 11:43:27 PM,61220,8,1,3608,451,451,451,451.0,0.0,451,451,451.0,0.0,66301.86213655668,147.0107807905913,7652.5,17398.94868745153,50667,451,60769,8681.285714285717,18528.32743588661,50667,600,0,0.0,0.0,0,0,0,0,0,0,64,8,130.6762495916367,16.33453119895459,451,451,451.0,0.0,0.0,0,0,0,0,0,0,0,0,0,501.1111111111112,451.0,451.0,0,0,0,0,0,0,8,3608,1,451,-1,-1,8,0,525.5,105.3589103967956,600,451,10028.16666666667,19917.8402284652,50667,1103,Anomaly,DoS,7,Apple_0e
2,192.168.0.14-239.255.255.250-64478-1900-17,192.168.0.14,64478,239.255.255.250,1900,17,25/07/2019 03:20:45 AM,192,1,1,175,175,175,175,175.0,0.0,175,175,175.0,0.0,1822916.666666667,10416.66666666667,192.0,0.0,192,192,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,5208.333333333333,5208.333333333333,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0.0,0.0,0,0,192.0,0.0,192,192,Anomaly,Mirai,3,Apple_0e
3,192.168.0.14-239.255.255.250-56749-1900-17,192.168.0.14,56749,239.255.255.250,1900,17,25/07/2019 03:26:48 AM,272,1,1,175,175,175,175,175.0,0.0,175,175,175.0,0.0,1286764.705882353,7352.941176470588,272.0,0.0,272,272,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,3676.470588235294,3676.470588235294,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0.0,0.0,0,0,272.0,0.0,272,272,Anomaly,Mirai,4,Apple_0e
4,192.168.0.14-239.255.255.250-56749-1900-17,192.168.0.14,56749,239.255.255.250,1900,17,25/07/2019 03:26:48 AM,272,1,1,175,175,175,175,175.0,0.0,175,175,175.0,0.0,1286764.705882353,7352.941176470588,272.0,0.0,272,272,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,3676.470588235294,3676.470588235294,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0.0,0.0,0,0,272.0,0.0,272,272,Anomaly,Mirai,3,Apple_0e
5,192.168.0.14-239.255.255.250-58224-1900-17,192.168.0.14,58224,239.255.255.250,1900,17,25/07/2019 03:24:47 AM,161,1,1,175,175,175,175,175.0,0.0,175,175,175.0,0.0,2173913.043478261,12422.3602484472,161.0,0.0,161,161,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,6211.180124223602,6211.180124223602,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0.0,0.0,0,0,161.0,0.0,161,161,Anomaly,Mirai,4,Apple_0e
6,192.168.0.14-239.255.255.250-50562-1900-17,192.168.0.14,50562,239.255.255.250,1900,17,04/06/2019 11:44:09 PM,364,1,1,175,175,175,175,175.0,0.0,175,175,175.0,0.0,961538.4615384616,5494.505494505494,364.0,0.0,364,364,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,2747.252747252747,2747.252747252747,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0.0,0.0,0,0,0.0,0.0,0,0,Anomaly,DoS,7,Apple_0e
7,192.168.0.14-224.0.0.251-5353-5353-17,192.168.0.14,5353,224.0.0.251,5353,17,04/06/2019 11:47:23 PM,24135,2,1,902,451,451,451,451.0,0.0,451,451,451.0,0.0,56059.66438781851,124.3008079552517,12067.5,16541.34893229691,23764,371,371,371.0,0.0,371,371,0,0.0,0.0,0,0,0,0,0,0,16,8,82.86720530350114,41.43360265175057,451,451,451.0,0.0,0.0,0,0,0,0,0,0,0,0,0,601.3333333333334,451.0,451.0,0,0,0,0,0,0,2,902,1,451,-1,-1,2,0,0.0,0.0,0,0,23764.0,0.0,23764,23764,Anomaly,DoS,7,Apple_0e
8,192.168.0.14-239.255.255.250-56076-1900-17,192.168.0.14,56076,239.255.255.250,1900,17,31/05/2019 04:06:34 AM,148,1,1,175,175,175,175,175.0,0.0,175,175,175.0,0.0,2364864.864864865,13513.51351351351,148.0,0.0,148,148,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,6756.756756756757,6756.756756756757,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0.0,0.0,0,0,148.0,0.0,148,148,Anomaly,MITM ARP Spoofing,8,Apple_0e
9,192.168.0.14-239.255.255.250-64478-1900-17,192.168.0.14,64478,239.255.255.250,1900,17,25/07/2019 03:20:45 AM,192,1,1,175,175,175,175,175.0,0.0,175,175,175.0,0.0,1822916.666666667,10416.66666666667,192.0,0.0,192,192,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,5208.333333333333,5208.333333333333,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0.0,0.0,0,0,192.0,0.0,192,192,Anomaly,Mirai,4,Apple_0e
10,192.168.0.14-239.255.255.250-64478-1900-17,192.168.0.14,64478,239.255.255.250,1900,17,25/07/2019 03:20:45 AM,192,1,1,175,175,175,175,175.0,0.0,175,175,175.0,0.0,1822916.666666667,10416.66666666667,192.0,0.0,192,192,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,5208.333333333333,5208.333333333333,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0.0,0.0,0,0,192.0,0.0,192,192,Anomaly,Mirai,4,Apple_0e
11,192.168.0.14-239.255.255.250-64478-1900-17,192.168.0.14,64478,239.255.255.250,1900,17,25/07/2019 03:20:48 AM,196,1,1,175,175,175,175,175.0,0.0,175,175,175.0,0.0,1785714.285714286,10204.08163265306,196.0,0.0,196,196,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,5102.040816326531,5102.040816326531,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0.0,0.0,0,0,196.0,0.0,196,196,Anomaly,Mirai,4,Apple_0e
12,192.168.0.14-239.255.255.250-64478-1900-17,192.168.0.14,64478,239.255.255.250,1900,17,25/07/2019 03:20:47 AM,150,1,1,175,175,175,175,175.0,0.0,175,175,175.0,0.0,2333333.333333333,13333.33333333334,150.0,0.0,150,150,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,6666.666666666668,6666.666666666668,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0.0,0.0,0,0,150.0,0.0,150,150,Anomaly,Mirai,2,Apple_0e
13,192.168.0.14-239.255.255.250-64478-1900-17,192.168.0.14,64478,239.255.255.250,1900,17,25/07/2019 03:20:47 AM,150,1,1,175,175,175,175,175.0,0.0,175,175,175.0,0.0,2333333.333333333,13333.33333333333,150.0,0.0,150,150,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,6666.666666666668,6666.666666666668,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0.0,0.0,0,0,150.0,0.0,150,150,Anomaly,Mirai,3,Apple_0e
14,192.168.0.14-239.255.255.250-64478-1900-17,192.168.0.14,64478,239.255.255.250,1900,17,25/07/2019 03:20:48 AM,196,1,1,175,175,175,175,175.0,0.0,175,175,175.0,0.0,1785714.285714286,10204.08163265306,196.0,0.0,196,196,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,5102.040816326531,5102.040816326531,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0.0,0.0,0,0,196.0,0.0,196,196,Anomaly,Mirai,2,Apple_0e
15,192.168.0.14-239.255.255.250-64478-1900-17,192.168.0.14,64478,239.255.255.250,1900,17,25/07/2019 03:20:47 AM,150,1,1,175,175,175,175,175.0,0.0,175,175,175.0,0.0,2333333.333333333,13333.33333333334,150.0,0.0,150,150,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,6666.666666666668,6666.666666666668,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0.0,0.0,0,0,150.0,0.0,150,150,Anomaly,Mirai,2,Apple_0e
16,192.168.0.14-239.255.255.250-56749-1900-17,192.168.0.14,56749,239.255.255.250,1900,17,25/07/2019 03:26:48 AM,272,1,1,175,175,175,175,175.0,0.0,175,175,175.0,0.0,1286764.705882353,7352.941176470588,272.0,0.0,272,272,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,3676.470588235294,3676.470588235294,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0.0,0.0,0,0,272.0,0.0,272,272,Anomaly,Mirai,4,Apple_0e
17,192.168.0.14-239.255.255.250-64478-1900-17,192.168.0.14,64478,239.255.255.250,1900,17,25/07/2019 03:20:47 AM,150,1,1,175,175,175,175,175.0,0.0,175,175,175.0,0.0,2333333.333333333,13333.33333333333,150.0,0.0,150,150,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,6666.666666666668,6666.666666666668,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0.0,0.0,0,0,150.0,0.0,150,150,Anomaly,Mirai,3,Apple_0e
18,192.168.0.14-239.255.255.250-64478-1900-17,192.168.0.14,64478,239.255.255.250,1900,17,25/07/2019 03:20:48 AM,196,1,1,175,175,175,175,175.0,0.0,175,175,175.0,0.0,1785714.285714286,10204.08163265306,196.0,0.0,196,196,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,5102.040816326531,5102.040816326531,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0.0,0.0,0,0,196.0,0.0,196,196,Anomaly,Mirai,2,Apple_0e
19,192.168.0.14-239.255.255.250-64478-1900-17,192.168.0.14,64478,239.255.255.250,1900,17,25/07/2019 03:20:47 AM,150,1,1,175,175,175,175,175.0,0.0,175,175,175.0,0.0,2333333.333333333,13333.33333333334,150.0,0.0,150,150,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,6666.666666666668,6666.666666666668,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0.0,0.0,0,0,150.0,0.0,150,150,Anomaly,Mirai,4,Apple_0e
20,192.168.0.14-239.255.255.250-58881-1900-17,192.168.0.14,58881,239.255.255.250,1900,17,20/05/2019 04:57:52 AM,411,1,1,175,175,175,175,175.0,0.0,175,175,175.0,0.0,851581.508515815,4866.1800486618,411.0,0.0,411,411,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,2433.0900243309,2433.0900243309,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0.0,0.0,0,0,411.0,0.0,411,411,Normal,Normal,0,Apple_0e
21,192.168.0.14-239.255.255.250-56749-1900-17,192.168.0.14,56749,239.255.255.250,1900,17,25/07/2019 03:26:48 AM,272,1,1,175,175,175,175,175.0,0.0,175,175,175.0,0.0,1286764.705882353,7352.941176470588,272.0,0.0,272,272,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,3676.470588235294,3676.470588235294,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0.0,0.0,0,0,272.0,0.0,272,272,Anomaly,Mirai,3,Apple_0e
22,192.168.0.14-239.255.255.250-57191-1900-17,192.168.0.14,57191,239.255.255.250,1900,17,10/09/2019 01:44:08 AM,118,1,1,175,175,175,175,175.0,0.0,175,175,175.0,0.0,2966101.694915254,16949.15254237288,118.0,0.0,118,118,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,8474.57627118644,8474.57627118644,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0.0,0.0,0,0,118.0,0.0,118,118,Anomaly,Mirai,1,Apple_0e
23,192.168.0.14-239.255.255.250-64478-1900-17,192.168.0.14,64478,239.255.255.250,1900,17,25/07/2019 03:20:48 AM,196,1,1,175,175,175,175,175.0,0.0,175,175,175.0,0.0,1785714.285714286,10204.08163265306,196.0,0.0,196,196,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,5102.040816326531,5102.040816326531,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0.0,0.0,0,0,196.0,0.0,196,196,Anomaly,Mirai,4,Apple_0e
24,192.168.0.14-224.0.0.251-5353-5353-17,192.168.0.14,5353,224.0.0.251,5353,17,25/07/2019 03:23:55 AM,154,1,1,326,326,326,326,326.0,0.0,326,326,326.0,0.0,4233766.233766234,12987.01298701299,154.0,0.0,154,154,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,6493.506493506494,6493.506493506494,326,326,326.0,0.0,0.0,0,0,0,0,0,0,0,0,1,489.0,326.0,326.0,0,0,0,0,0,0,1,326,1,326,-1,-1,1,0,0.0,0.0,0,0,154.0,0.0,154,154,Anomaly,Mirai,4,Apple_0e
25,192.168.0.14-239.255.255.250-56359-1900-17,192.168.0.14,56359,239.255.255.250,1900,17,20/05/2019 04:59:55 AM,410,1,1,175,175,175,175,175.0,0.0,175,175,175.0,0.0,853658.5365853659,4878.048780487805,410.0,0.0,410,410,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,2439.024390243902,2439.024390243902,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0.0,0.0,0,0,410.0,0.0,410,410,Normal,Normal,0,Apple_0e
26,192.168.0.14-224.0.0.251-5353-5353-17,192.168.0.14,5353,224.0.0.251,5353,17,20/05/2019 04:56:50 AM,371,1,1,353,353,353,353,353.0,0.0,353,353,353.0,0.0,1902964.959568733,5390.835579514825,371.0,0.0,371,371,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,2695.417789757412,2695.417789757412,353,353,353.0,0.0,0.0,0,0,0,0,0,0,0,0,1,529.5,353.0,353.0,0,0,0,0,0,0,1,353,1,353,-1,-1,1,0,0.0,0.0,0,0,371.0,0.0,371,371,Normal,Normal,0,Apple_0e
27,192.168.0.14-224.0.0.251-5353-5353-17,192.168.0.14,5353,224.0.0.251,5353,17,26/05/2019 10:20:32 PM,5452,1,1,413,413,413,413,413.0,0.0,413,413,413.0,0.0,151504.0352164343,366.8378576669112,5452.0,0.0,5452,5452,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,183.4189288334556,183.4189288334556,413,413,413.0,0.0,0.0,0,0,0,0,0,0,0,0,1,619.5,413.0,413.0,0,0,0,0,0,0,1,413,1,413,-1,-1,1,0,0.0,0.0,0,0,5452.0,0.0,5452,5452,Anomaly,DoS,7,Apple_0e
28,192.168.0.14-239.255.255.250-50267-1900-17,192.168.0.14,50267,239.255.255.250,1900,17,10/09/2019 01:42:07 AM,118,1,1,175,175,175,175,175.0,0.0,175,175,175.0,0.0,2966101.694915254,16949.15254237288,118.0,0.0,118,118,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,8474.57627118644,8474.57627118644,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0.0,0.0,0,0,118.0,0.0,118,118,Anomaly,Mirai,1,Apple_0e
29,192.168.0.14-224.0.0.251-5353-5353-17,192.168.0.14,5353,224.0.0.251,5353,17,04/06/2019 11:43:54 PM,3933,3,1,1353,451,451,451,451.0,0.0,451,451,451.0,0.0,458682.9392321383,1017.035341978134,1311.0,662.0928937845505,1802,558,2131,1065.5,717.7133829043457,1573,558,0,0.0,0.0,0,0,0,0,0,0,24,8,762.7765064836003,254.2588354945334,451,451,451.0,0.0,0.0,0,0,0,0,0,0,0,0,0,563.75,451.0,451.0,0,0,0,0,0,0,3,1353,1,451,-1,-1,3,0,558.0,0.0,558,558,1687.5,161.9274528917194,1802,1573,Anomaly,DoS,7,Apple_0e
30,192.168.0.14-239.255.255.250-56359-1900-17,192.168.0.14,56359,239.255.255.250,1900,17,20/05/2019 04:59:53 AM,379,1,1,175,175,175,175,175.0,0.0,175,175,175.0,0.0,923482.8496042216,5277.044854881266,379.0,0.0,379,379,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,2638.522427440633,2638.522427440633,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0.0,0.0,0,0,379.0,0.0,379,379,Normal,Normal,0,Apple_0e
31,192.168.0.14-239.255.255.250-50562-1900-17,192.168.0.14,50562,239.255.255.250,1900,17,04/06/2019 11:44:07 PM,1101,2,1,350,175,175,175,175.0,0.0,175,175,175.0,0.0,476839.2370572207,2724.795640326975,550.5,191.6259377015544,686,415,686,686.0,0.0,686,686,0,0.0,0.0,0,0,0,0,0,0,16,8,1816.53042688465,908.2652134423251,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,0,233.3333333333333,175.0,175.0,0,0,0,0,0,0,2,350,1,175,-1,-1,2,0,0.0,0.0,0,0,0.0,0.0,0,0,Anomaly,DoS,7,Apple_0e
32,192.168.0.14-239.255.255.250-50562-1900-17,192.168.0.14,50562,239.255.255.250,1900,17,04/06/2019 11:44:08 PM,90869,2,1,350,175,175,175,175.0,0.0,175,175,175.0,0.0,5777.547898623294,33.01455942070453,45434.5,63708.19966456437,90483,386,90483,90483.0,0.0,90483,90483,0,0.0,0.0,0,0,0,0,0,0,16,8,22.00970628046969,11.00485314023484,175,175,175.0,0.0,0.0,0,0,0,0,0,0,0,0,0,233.3333333333333,175.0,175.0,0,0,0,0,0,0,2,350,1,175,-1,-1,2,0,386.0,0.0,386,386,90483.0,0.0,90483,90483,Anomaly,DoS,7,Apple_0e
